source_tile_id,target_tile_id,direction,expected_dx_px,expected_dy_px,dx_px,dy_px,shift_x_px,shift_y_px,confidence,method,accepted
r00_c00,r00_c01,right,120.0,0.0,125.65086781922247,1.4622963731023333,5.650867819222469,1.4622963731023333,0.8112848341464997,phase_correlation,True
r00_c00,r01_c00,down,0.0,120.0,0.10394291149367518,116.19768915282044,0.10394291149367518,-3.8023108471795517,1.004545605480671,phase_correlation,True
r00_c01,r00_c02,right,120.0,0.0,116.34113011481075,-1.0527456020078887,-3.658869885189244,-1.0527456020078887,0.9773715767264366,phase_correlation,True
r00_c01,r01_c01,down,0.0,120.0,-7.977486798802133,115.38995647291927,-7.977486798802133,-4.610043527080737,0.8604511627554894,phase_correlation,True
r00_c02,r01_c02,down,0.0,120.0,-3.2194257068794627,116.89096470357306,-3.2194257068794627,-3.1090352964269385,0.9163251680135727,phase_correlation,True
r01_c00,r01_c01,right,120.0,0.0,118.54383429850938,0.05203021028023613,-1.4561657014906189,0.05203021028023613,1.3803028386831284,phase_correlation,True
r01_c00,r02_c00,down,0.0,120.0,3.261170189897939,121.47557477242707,3.261170189897939,1.4755747724270663,0.8768389075994492,phase_correlation,True
r01_c01,r01_c02,right,120.0,0.0,121.13092900200292,1.3348185368802774,1.1309290020029152,1.3348185368802774,0.8782269135117531,phase_correlation,True
r01_c01,r02_c01,down,0.0,120.0,3.235963089166276,123.78977594499494,3.235963089166276,3.789775944994947,0.9641858699172735,phase_correlation,True
r01_c02,r02_c02,down,0.0,120.0,1.7596201808495238,118.51290731813003,1.7596201808495238,-1.4870926818699672,1.5940038231015206,phase_correlation,True
r02_c00,r02_c01,right,120.0,0.0,118.05048749902849,3.2302742519885896,-1.9495125009715117,3.2302742519885896,0.6434811675548553,phase_correlation,True
r02_c01,r02_c02,right,120.0,0.0,119.98846861646601,-4.9136875657096795,-0.011531383533984751,-4.9136875657096795,1.1383776143193245,phase_correlation,True
